Film;Année;real;entrees;palme;scale;categorie
Ou est la maison de mon ami?;1987;Abbas Kiarostami;186210;0;1,1529531228;3
Au travers des oliviers;1995;Abbas Kiarostami;155616;0;0,9635248008;3
Le Goût de la cerise;1997;Abbas Kiarostami;161507;1;1;3
Le Vent nous emportera;1999;Abbas Kiarostami;136460;0;0,8449169386;3
Ten;2002;Abbas Kiarostami;117159;0;0,7254112825;2
Copie conforme;2010;Abbas Kiarostami;264841;0;1,6398112775;4
Like Someone in Love;2012;Abbas Kiarostami;46089;0;0,285368436;2
La Faute à Voltaire;2000;Abdellatif Kechiche;82347;0;0,0809490106;1
L’Esquive;2004;Abdellatif Kechiche;373618;0;0,367275158;2
La Graine et le Mulet;2007;Abdellatif Kechiche;1010910;0;0,9937479725;3
Vénus noire;2010;Abdellatif Kechiche;215484;0;0,211825769;1
La Vie d’Adèle;2013;Abdellatif Kechiche;1017270;1;1;3
Oncle Boonmee, celui qui se souvient de ses vies antérieures;2010;Apichatpong Weerasethakul;127511;1;1;3
4 mois, 3 semaines, 2 jours;2007;Cristian Mungiu;328846;1;1;3
Contes de l’Âge d’Or;2009;Cristian Mungiu;60375;0;0,1835965771;1
Au-delà des collines;2012;Cristian Mungiu;65178;0;0,198202198;1
Papa est en voyage d'affaires;1985;Emir Kusturica;571247;1;1;3
Le Temps des Gitans;1989;Emir Kusturica;519688;0;0,9097430709;3
Arizona Dream;1993;Emir Kusturica;960543;0;1,6814845417;4
Underground;1995;Emir Kusturica;443868;1;0,7770158968;2
Chat noir, chat blanc;1998;Emir Kusturica;705543;0;1,2350927007;4
La Vie est un miracle;2004;Emir Kusturica;573614;0;1,0041435666;3
Promets-moi;2007;Emir Kusturica;126287;0;0,2210724958;1
Maradona par Kusturica;2008;Emir Kusturica;40509;0;0,0709132827;1
Mala Noche;1985;Gus Van Sant;22752;0;0,0304585245;1
My Own Private Idaho;1991;Gus Van Sant;169090;0;0,2263639199;1
Prête à tout;1995;Gus Van Sant;229513;0;0,307253311;2
Will Hunting;1997;Gus Van Sant;1050224;0;1,4059543524;4
Psycho;1998;Gus Van Sant;114542;0;0,1533395004;1
A la rencontre de Forrester;2000;Gus Van Sant;605827;0;0,8110318441;3
Gerry;2002;Gus Van Sant;51741;0;0,0692666366;1
Elephant;2003;Gus Van Sant;746983;1;1;3
Last Days;2005;Gus Van Sant;213831;0;0,2862595267;2
Paranoid Park;2007;Gus Van Sant;243161;0;0,3255241418;2
Harvey Milk;2008;Gus Van Sant;664482;0;0,8895543808;3
Restless;2011;Gus Van Sant;80172;0;0,1073277437;1
Promised Land;2013;Gus Van Sant;217102;0;0,290638475;2
Kes;1969;Ken Loach;348617;0;0,3840087857;2
Family Life;1971;Ken Loach;754054;0;0,8306059685;3
Black Jack;1979;Ken Loach;172115;0;0,1895882076;1
Fatherland;1986;Ken Loach;9762;0;0,0107530435;1
Secret défense;1990;Ken Loach;35757;0;0,0393870699;1
Riff-Raff;1991;Ken Loach;112988;0;0,1244586027;1
Raining Stones;1993;Ken Loach;521839;0;0,5748163765;2
Ladybird;1994;Ken Loach;221861;0;0,2443844483;1
Land and Freedom;1995;Ken Loach;757781;0;0,8347113355;3
Carla’s Song;1996;Ken Loach;307514;0;0,338732987;2
My Name is Joe;1998;Ken Loach;605846;0;0,6673518124;2
Bread and Roses;2000;Ken Loach;260408;0;0,2868447605;2
The Navigators;2001;Ken Loach;312502;0;0,3442273715;2
Sweet Sixteen;2002;Ken Loach;356280;0;0,3924497376;2
Just a Kiss;2004;Ken Loach;439510;0;0,4841292921;2
Tickets;2005;Ken Loach;5279;0;0,0058149269;1
Le Vent se lève;2006;Ken Loach;907836;1;1;3
It’s a Free World...;2007;Ken Loach;459148;0;0,5057609524;2
Looking for Eric;2009;Ken Loach;504647;0;0,5558790354;2
Route Irish;2010;Ken Loach;67468;0;0,0743173877;1
La Part des anges;2012;Ken Loach;753926;0;0,8304649738;3
Europa;1991;Lars von Trier;126158;0;0,1011443053;1
Breaking the Waves;1996;Lars von Trier;635599;0;0,5095770328;2
Les Idiots;1998;Lars von Trier;110453;0;0,088553179;1
Dancer in the Dark;2000;Lars von Trier;1247307;1;1;3
Dogville;2003;Lars von Trier;372843;0;0,2989183898;2
Manderlay;2005;Lars von Trier;37100;0;0,0297440806;1
Le Direktør;2006;Lars von Trier;65639;0;0,0526245744;1
Antichrist;2009;Lars von Trier;144764;0;0,1160612423;1
Melancholia;2011;Lars von Trier;409246;0;0,3281036665;2
Nymphomaniac vol1;2013;Lars von Trier;101439;0;0,0813264096;1
Nymphomaniac vol2;2013;Lars von Trier;72147;0;0,0578422153;1
Ressources humaines;2000;Laurent Cantet;244248;0;0,1514851559;1
L’Emploi du temps;2001;Laurent Cantet;226579;0;0,1405266579;1
Vers le sud;2005;Laurent Cantet;127892;0;0,0793199517;1
Entre les murs;2008;Laurent Cantet;1612356;1;1;3
Foxfire, confessions d’un gang de filles;2013;Laurent Cantet;120239;0;0,0745734813;1
Je pense à vous;1992;Luc et Jean-Pierre Dardenne;53256;0;0,0755221074;1
La Promesse;1996;Luc et Jean-Pierre Dardenne;196023;0;0,2779793837;2
Rosetta;1999;Luc et Jean-Pierre Dardenne;705171;1;1;3
Le Fils;2002;Luc et Jean-Pierre Dardenne;240567;0;0,3411470409;2
L’Enfant;2005;Luc et Jean-Pierre Dardenne;376245;1;0,5335514365;2
Le Silence de Lorna;2008;Luc et Jean-Pierre Dardenne;338964;0;0,4806834087;2
Le Gamin au vélo;2011;Luc et Jean-Pierre Dardenne;529462;0;0,7508278134;2
Funny Games;1997;Michael Haneke;68245;0;0,1051197452;1
Code inconnu;2000;Michael Haneke;41213;0;0,0634815746;1
La Pianiste;2001;Michael Haneke;776522;0;1,1960992711;3
Le Temps du loup;2003;Michael Haneke;30380;0;0,0467951917;1
Caché;2005;Michael Haneke;510203;0;0,7858804212;2
Funny Games U.S;2007;Michael Haneke;116175;0;0,1789477089;1
Le Ruban blanc;2009;Michael Haneke;649212;1;1;3
Amour;2012;Michael Haneke;767418;1;1,1820761169;3
Roger et moi;1989;Michael Moore;67585;0;0,028415505;1
Canadian Bacon;1995;Michael Moore;905;0;0,0003804991;1
The Big One;1997;Michael Moore;209860;0;0,0882337484;1
Bowling for Columbine;2002;Michael Moore;1010830;0;0,4249943766;2
Fahrenheit 9/11;2004;Michael Moore;2378455;1;1;3
Sicko;2007;Michael Moore;258142;0;0,1085334808;1
Capitalism  : A Love Story;2009;Michael Moore;134210;0;0,0564273867;1
Bleak Moments;1971;Mike Leigh;18318;0;0,0122938855;1
Naked;1993;Mike Leigh;178644;0;0,1198945778;1
Secrets et mensonges;1996;Mike Leigh;1490009;1;1;3
Deux filles d'aujourd'hui;1997;Mike Leigh;186187;0;0,1249569633;1
Topsy-Turvy;1999;Mike Leigh;6640;0;0,0044563489;1
All Or Nothing;2002;Mike Leigh;82527;0;0,0553869138;1
Vera Drake;2004;Mike Leigh;190276;0;0,1277012421;1
Be Happy;2008;Mike Leigh;362884;0;0,2435448376;1
Another Year;2010;Mike Leigh;461783;0;0,3099196045;2
Bianca;1983;Nanni Moretti;56675;0;0,0709075668;1
La messe est finie;1985;Nanni Moretti;204933;0;0,2563970073;2
Palombella rossa;1989;Nanni Moretti;149831;0;0,1874574617;1
Journal intime;1994;Nanni Moretti;421559;0;0,5274234311;2
Aprile;1998;Nanni Moretti;189104;0;0,2365929336;1
La Chambre du fils;2001;Nanni Moretti;799280;1;1;3
Le Caïman;2006;Nanni Moretti;233865;0;0,2925945851;2
Habemus Papam;2011;Nanni Moretti;743889;0;0,930698879;3
