Libellé;Comptes nationaux annuels base 2005 - Produit intérieur brut approche produit - Total des secteurs institutionnels - Total des produits - Prix courant
IdBank;001625867
Année
2012;2 032 297
2011;2 001 398
2010;1 936 720
2009;1 885 763
2008;1 933 195
2007;1 886 792
2006;1 798 116
2005;1 718 047
2004;1 655 572
2003;1 587 903
2002;1 542 928
2001;1 495 554
2000;1 439 603
1999;1 367 005
1998;1 321 104
1997;1 264 843
1996;1 226 607
1995;1 196 181
1994;1 157 881
1993;1 119 833
1992;1 107 985
1991;1 071 173
1990;1 032 780
1989;979 416
1988;909 152
1987;841 068
1986;800 920
1985;744 465
1984;695 042
1983;639 445
1982;575 686
1981;501 425
1980;444 706
1979;392 418
1978;344 045
1977;303 151
1976;268 914
1975;232 456
1974;206 883
1973;177 490
1972;154 534
1971;138 274
1970;123 992
1969;110 778
1968;96 341
1967;88 332
1966;81 714
1965;75 408
1964;69 824
1963;62 981
1962;56 178
1961;50 116
1960;46 327
1959;41 679
1958;38 227
1957;33 065
1956;29 308
1955;26 584
1954;24 745
1953;23 318
1952;22 475
1951;19 302
1950;15 317
1949;13 030
