Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp
1;AIN;4;Ambérieu-en-Bugey;8188;3698;45,16;4490;54,84;218;2,66;4,86;4272;52,17;95,14;LUG;F;EXPOSITO;Josiane;AMBERIEU-AMBITION;0;1341;16,38;31,39;LGC;M;PAVIER;Bernard;AMBERIEU POUR TOUS !;0;820;10,01;19,19;LDVD;F;CASTELLANO;Sandrine;AVEC VOUS POUR AMBERIEU;0;1327;16,21;31,06;LDVD;M;SASSO;Jean-Marc;ENSEMBLE POUR AMBERIEU;0;784;9,57;18,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;14;Arbent;2052;729;35,53;1323;64,47;72;3,51;5,44;1251;60,96;94,56;LMAJ;F;MAISSIAT;Liliane;ARBENT-MARCHON;25;985;48;78,74;LDVD;M;GAUTHIER;Michel;TOUS UNIS POUR ARBENT;2;266;12,96;21,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;33;Bellegarde-sur-Valserine;6282;2312;36,8;3970;63,2;128;2,04;3,22;3842;61,16;96,78;LSOC;M;LARMANJAT;Guy;'A L''ECOUTE DE TOUS ';7;1605;25,55;41,78;LMAJ;M;PETIT;Régis;BELLEGARDE NOTRE VILLE;26;2237;35,61;58,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;34;Belley;5227;1755;33,58;3472;66,42;171;3,27;4,93;3301;63,15;95,07;LSOC;M;CAVALLERO;Claude;VIVRE A BELLEY;0;530;10,14;16,06;LDVG;M;FOGNINI;Jean-Marc;CHANGEONS BELLEY ENSEMBLE;0;1297;24,81;39,29;LMAJ;M;TRAVERS;Jean-Claude;POUR BELLEY DEMAIN;0;1474;28,2;44,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;43;Beynost;3096;1138;36,76;1958;63,24;69;2,23;3,52;1889;61,01;96,48;LDVD;M;NICOD;Michel;BEYNOST AUTREMENT;0;873;28,2;46,21;LDVD;F;CADET;Isabelle;NOUVEAU VISAGE BEYNOST;0;533;17,22;28,22;LDVD;M;BARDIN;Christian;PR BEYNOST UNE VIE DIFF;0;483;15,6;25,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;53;Bourg-en-Bresse;23069;9602;41,62;13467;58,38;287;1,24;2,13;13180;57,13;97,87;LEXG;F;GUENARD-GERBAUD;Carole;100 % A GAUCHE;0;460;1,99;3,49;LSOC;M;DEBAT;Jean-François;POUR BOURG UNISSONS ;34;7298;31,64;55,37;LCMD;M;GUILLEMAUT;Bernard;BOURG EN MOUVEMENT;1;835;3,62;6,34;LMAJ;M;FEILLENS;Christophe;ENSEMBLE DESSINONS BOURG;8;4587;19,88;34,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;93;Châtillon-sur-Chalaronne;3292;946;28,74;2346;71,26;43;1,31;1,83;2303;69,96;98,17;LDVG;M;RENOUD-GRAPPIN;Michel;'CHATILLON, TEMPS D''AVANCE';0;806;24,48;35;LMAJ;M;CLAYETTE;Yves;VIVONS CHATILLON ENSEMBLE;0;1106;33,6;48,02;LDVD;M;PADET;Philippe;INITIATIVE COMMUNE;0;391;11,88;16,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;142;Dagneux;2658;983;36,98;1675;63,02;77;2,9;4,6;1598;60,12;95,4;LMAJ;M;LOBIETTI;Bernard;ENSEMBLE POUR DAGNEUX;5;659;24,79;41,24;LDVD;M;SIMPLEX;Bernard;'CHANGEONS L''AVENIR';22;939;35,33;58,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;143;Divonne-les-Bains;4984;2849;57,16;2135;42,84;741;14,87;34,71;1394;27,97;65,29;LMAJ;M;BLANC;Etienne;DIVONNE ENSEMBLE;29;1394;27,97;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;160;Ferney-Voltaire;4126;1919;46,51;2207;53,49;58;1,41;2,63;2149;52,08;97,37;LVEC;M;MEYLAN;François;FERNEY AVENIR;0;653;15,83;30,39;LCMD;F;FAURE;Fabienne;FERNEY-VOLTAIRE POUR TOUS;0;640;15,51;29,78;LDVD;M;DUTY;Pierre-Etienne;FERNEY AMBITION PARTAGEE;0;558;13,52;25,97;LDVD;M;LANDREAU;Christian;'J''AIME FERNEY';0;298;7,22;13,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
