Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;4;Ambérieu-en-Bugey;8188;3516;42,94;4672;57,06;122;1,49;2,61;4550;55,57;97,39;LUG;F;EXPOSITO;Josiane;AMBERIEU-AMBITION;24;1927;23,53;42,35;LGC;M;PAVIER;Bernard;AMBERIEU POUR TOUS !;2;517;6,31;11,36;LDVD;F;CASTELLANO;Sandrine;AVEC VOUS POUR AMBERIEU;6;1632;19,93;35,87;LDVD;M;SASSO;Jean-Marc;ENSEMBLE POUR AMBERIEU;1;474;5,79;10,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;34;Belley;5227;1497;28,64;3730;71,36;141;2,7;3,78;3589;68,66;96,22;LDVG;M;FOGNINI;Jean-Marc;CHANGEONS BELLEY ENSEMBLE;22;1845;35,3;51,41;LMAJ;M;TRAVERS;Jean-Claude;POUR BELLEY DEMAIN;7;1744;33,37;48,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;43;Beynost;3096;1134;36,63;1962;63,37;51;1,65;2,6;1911;61,72;97,4;LDVD;M;NICOD;Michel;BEYNOST AUTREMENT;21;949;30,65;49,66;LDVD;F;CADET;Isabelle;NOUVEAU VISAGE BEYNOST;4;556;17,96;29,09;LDVD;M;BARDIN;Christian;PR BEYNOST UNE VIE DIFF;2;406;13,11;21,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;93;Châtillon-sur-Chalaronne;3292;987;29,98;2305;70,02;31;0,94;1,34;2274;69,08;98,66;LDVG;M;RENOUD-GRAPPIN;Michel;'CHATILLON, TEMPS D''AVANCE';5;801;24,33;35,22;LMAJ;M;CLAYETTE;Yves;VIVONS CHATILLON ENSEMBLE;23;1182;35,91;51,98;LDVD;M;PADET;Philippe;INITIATIVE COMMUNE;1;291;8,84;12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;160;Ferney-Voltaire;4126;1772;42,95;2354;57,05;38;0,92;1,61;2316;56,13;98,39;LVEC;M;MEYLAN;François;FERNEY AVENIR;20;869;21,06;37,52;LCMD;F;FAURE;Fabienne;FERNEY-VOLTAIRE POUR TOUS;4;640;15,51;27,63;LDVD;M;DUTY;Pierre-Etienne;FERNEY AMBITION PARTAGEE;4;591;14,32;25,52;LDVD;M;LANDREAU;Christian;'J''AIME FERNEY';1;216;5,24;9,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;283;Oyonnax;11007;5339;48,51;5668;51,49;184;1,67;3,25;5484;49,82;96,75;NC;;;;;0;0;0;0;LEXG;;;;;0;0;0;0;LCOM;;;;;0;0;0;0;LUG;;;;;6;2094;19,02;38,18;LSOC;;;;;0;0;0;0;LVEC;;;;;0;0;0;0;LDVG;;;;;0;0;0;0;LGC;;;;;0;0;0;0;LAUT;;;;;0;0;0;0;LREG;;;;;0;0;0;0;LCMD;;;;;0;0;0;0;LMC;;;;;0;0;0;0;LMAJ;;;;;0;0;0;0;LDVD;;;;;27;3390;30,8;61,82;LFN;;;;;0;0;0;0;LEXD;;;;;0;0;0;0
1;AIN;283SN01; Section 01 Oyonnax;11007;5339;48,51;5668;51,49;184;1,67;3,25;5484;49,82;96,75;LUG;M;ODOBET;Serge;OYONNAX AUTREMENT;6;2094;19,02;38,18;LDVD;M;PERRAUD;Michel;TRANSFORMER OYONNAX;27;3390;30,8;61,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;95;Bohain-en-Vermandois;3810;915;24,02;2895;75,98;105;2,76;3,63;2790;73,23;96,37;LUG;M;BRICOUT;Jean-Louis;NOUVEAU CAP;21;1160;30,45;41,58;LDVG;M;DORMION;Daniel;EQUIPE MOTIVEE;3;599;15,72;21,47;LDVD;M;MAUDENS;Eric;CROIRE EN BOHAIN;5;1031;27,06;36,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;168;Château-Thierry;9546;3313;34,71;6233;65,29;145;1,52;2,33;6088;63,78;97,67;LSOC;M;JOURDAIN;Dominique;'J''AIME MA VILLE';6;2197;23,01;36,09;LDVG;M;KRABAL;Jacques;CHATEAU-THIERRY POUR TOUS;25;3164;33,14;51,97;LMAJ;M;DJELLAL;Robert;LE RENOUVEAU CASTEL;2;727;7,62;11,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;722;Soissons;17177;7124;41,47;10053;58,53;385;2,24;3,83;9668;56,28;96,17;LUG;M;DAY;Patrick;LA GAUCHE UNIE;28;5496;32;56,85;LMAJ;F;ERRASTI;Edith;SOISSONS AVEC VOUS;7;4172;24,29;43,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;810;Villers-Cotterêts;6470;2331;36,03;4139;63,97;110;1,7;2,66;4029;62,27;97,34;LUG;M;PRUSKI;Jean-Claude;CHANGEONS VILLERS;20;1444;22,32;35,84;LCMD;M;BELLIERE;Renaud;VILLERS EN MOUVEMENT;2;714;11,04;17,72;LDVD;M;GERVAIS;Jean-Claude;ENSEMBLE AUTREMENT;5;1363;21,07;33,83;LFN;M;BRIFFAUT;Franck;FAIRE CHANGER VILLERS;2;508;7,85;12,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;23;Bellerive-sur-Allier;6009;1802;29,99;4207;70,01;137;2,28;3,26;4070;67,73;96,74;LUG;M;GUERRE;Jean-Michel;ENSEMBLE POUR BELLERIVE;22;2010;33,45;49,39;LDVG;M;BONJEAN;Bruno;BELLERIVE SE RESSOURCE;1;419;6,97;10,29;LDVD;M;DESCHAMPS;Jean-Pierre;BELLERIVE ALTERNATIVE;6;1641;27,31;40,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;82;Commentry;5120;1449;28,3;3671;71,7;89;1,74;2,42;3582;69,96;97,58;LSOC;M;DURIN;Roger;COMMENTRY A GAUCHE;4;1051;20,53;29,34;LDVG;M;BOUTTERIN;Robert;'L''ALTERNATIVE -ENSEMBLE ';1;404;7,89;11,28;LMAJ;M;GABY;Jean-Louis;LE PARTI DE COMMENTRY;24;2127;41,54;59,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;95;Cusset;8828;2944;33,35;5884;66,65;179;2,03;3,04;5705;64,62;96,96;LUG;M;BARDET;René;LISTE DE GAUCHE SOUTENUE ;24;2537;28,74;44,47;LDVG;M;DAUBERNARD;Jacques;CUSSET AUTREMENT;5;1773;20,08;31,08;LDVD;M;MALDANT;Alain;CUSSET A VENIR;4;1395;15,8;24,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;101;Domérat;7128;2250;31,57;4878;68,43;336;4,71;6,89;4542;63,72;93,11;LUG;M;MALBET;Marc;DOMERAT, UNE NOUVELLE DYN;26;3407;47,8;75,01;LDVD;M;GAULTIER;Gérard;LISTE DU RASSEMBLEMENT;3;1135;15,92;24,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;190;Moulins;14097;5539;39,29;8558;60,71;222;1,57;2,59;8336;59,13;97,41;LGC;M;LAHAYE;Jacques;SE RASSEMBLER POUR;8;3701;26,25;44,4;LMAJ;M;PERISSOL;Pierre-André;MOULINS POUR TOUS;26;3839;27,23;46,05;LDVD;M;LARDANS;Dominique-Jean;MOUVEMENT DU 16/11;1;796;5,65;9,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;310;Vichy;18275;6736;36,86;11539;63,14;386;2,11;3,35;11153;61,03;96,65;LDVG;M;CHARASSE;Gérard;ENSEMBLE, RÉUSSIR VICHY;8;5440;29,77;48,78;LMAJ;M;MALHURET;Claude;VICHY AVENIR;27;5713;31,26;51,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ALPES DE HAUTE PROVENCE;70;Digne-les-Bains;11647;3906;33,54;7741;66,46;554;4,76;7,16;7187;61,71;92,84;LDVG;M;GLOAGUEN;Serge;'L''AVENIR DE DIGNE';28;4491;38,56;62,49;LMAJ;M;'DALL''OSTO';Bernard;NOTRE VILLE EN 3D;3;1619;13,9;22,53;LDVD;F;BAUDOUI-MAUREL;Marie-Anne;'2008 - L''ESPOIR';2;1077;9,25;14,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ALPES DE HAUTE PROVENCE;112;Manosque;14811;5069;34,22;9742;65,78;407;2,75;4,18;9335;63,03;95,82;LUG;M;AUBERT;Roland;MIEUX VIVRE;8;4445;30,01;47,62;LMAJ;M;JEANMET-PERALTA;Bernard;LE BON SENS;25;4890;33,02;52,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;HAUTES ALPES;23;Briançon;8035;2076;25,84;5959;74,16;220;2,74;3,69;5739;71,43;96,31;LGC;M;CIRIO;Raymond;AGIR UNIS POUR  BRIANCON;8;2745;34,16;47,83;LMAJ;M;BAYROU;Alain;BRIANCON POUR VOUS;25;2994;37,26;52,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;HAUTES ALPES;61;Gap;27598;9345;33,86;18253;66,14;534;1,93;2,93;17719;64,2;97,07;LUG;M;BLANC;Guy;POUR TOUS LES GAPENCAIS;8;7618;27,6;42,99;LMC;M;DIDIER;Roger;GAP, ENERGIQUE ET FRATERN;29;7907;28,65;44,62;LDVD;M;PASSERON;Jean-Marc;EN AVANT GAP;2;2194;7,95;12,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;12;Beausoleil;8855;3982;44,97;4873;55,03;257;2,9;5,27;4616;52,13;94,73;LDVG;F;HOURTIC;Brigitte;BEAUSOLEIL DEMOCRATIE;3;747;8,44;16,18;LMAJ;M;VIAL;Robert;BEAUSOLEIL, NOTRE VILLE, ;5;1319;14,9;28,57;LDVD;M;SPINELLI;Gérard;LISTE GERARD SPINELLI;25;2550;28,8;55,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;18;Biot;6466;2182;33,75;4284;66,25;69;1,07;1,61;4215;65,19;98,39;LUG;F;ENSELME-LECOMTE;Dominique;BIOT 2008;1;368;5,69;8,73;LDVG;M;BOUCAND;François-Xavier;MIEUX VIVRE BIOT;6;1769;27,36;41,97;LMAJ;M;DERMIT;Jean-Pierre;AGIR ENSEMBLE POUR BIOT;22;2078;32,14;49,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;29;Cannes;51239;20522;40,05;30717;59,95;842;1,64;2,74;29875;58,31;97,26;LSOC;F;CRAPIZ;Apolline;LISTE DE RASSEMBLEMENT DE;3;3492;6,82;11,69;LMAJ;M;BROCHAND;Bernard;VIVE CANNES ;35;12160;23,73;40,7;LDVD;M;TABAROT;Philippe;GAGNER POUR CANNES;9;11090;21,64;37,12;LDVD;M;MARTINEZ;Jean;MAIRE POUR TOUS CANNOIS;2;3133;6,11;10,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;44;La Colle-sur-Loup;5897;1725;29,25;4172;70,75;64;1,09;1,53;4108;69,66;98,47;LUG;M;HELY;Pierre;LA COLLE A GAUCHE;1;393;6,66;9,57;LDVG;M;BERKESSE;Christian;LA COLLE AUTREMENT;22;1924;32,63;46,84;LMAJ;M;ZISSLER;Henri;UNION POUR LA COLLE;6;1791;30,37;43,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
